City,Date,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
Mumbai,21/03/2023,228.8,440.8,63.5,12.5,0.24,55.64747475,348,Very Poor
Delhi,16/03/2023,395,92.2,91.1,31.7,4.85,101.8,310.5360825,Severe
Chennai,03/03/2023,356.2,188.4,22,40.65656566,3.83,76.1,518,Severe
Delhi,28/01/2023,104.3,64.7,135.1,72.2,3.2,44,150,Moderate
Mumbai,17/01/2023,372.6,407.9,96.8,70,4.04,26.5,574,Severe
Lucknow,25/01/2023,207.8412371,303.6,103.2,3.3,2.61,31,44,Good
Chennai,03/01/2023,80.9,108,49.1,42.9,2.22,38.5,125,Moderate
Chennai,29/01/2023,293.1,450.6,133.6,62.8,3.25,14.7,426,Severe
Delhi,30/01/2023,360.4,311.1,6.3,9.9,3.35,5.6,527,Severe
Hyderabad,14/01/2023,288.2,385.2,86.4,62.1,2.52,65.1,429,Severe
Mumbai,04/04/2023,219.5,301.7,113.1,35.7,0.73,37.6,323,Very Poor
Delhi,10/04/2023,104.5,75.1,93.5,24.5,2.95,22.8,155,Moderate
Ahmedabad,07/04/2023,41.3,271.8,64.5,78.6,0.65,50.8,80,Satisfactory
Chennai,15/01/2023,19.9,71.8,9.6,51.6,1.64,55.64747475,46,Good
Delhi,01/01/2023,156.1,476.3,111.1,48.7,0.86,22.9,310.5360825,Poor
Delhi,22/01/2023,206,44.7,45.4,72.8,1.27,21.7,308,Very Poor
Delhi,01/04/2023,64.4,257.4202128,58.1,37.6,3.95,55.64747475,97,Satisfactory
Kolkata,31/01/2023,224,352.1,99.5,40.65656566,3.59,32.3,329,Very Poor
Bengaluru,26/03/2023,59.9,92.9,25.1,52,0.99,44.8,105,Moderate
Ahmedabad,01/03/2023,233.6,323.3,70,24.9,1.71,82.3,360,Very Poor
Delhi,24/01/2023,256.6,257.4202128,82.7,40.65656566,4.19,41.9,372,Very Poor
Chennai,12/01/2023,38.9,192.1,21.8,69.3,3.15,43.1,40,Good
Lucknow,02/06/2023,341.9,172.1,29.6,45.4,2.459183673,85,515,Severe
Mumbai,31/03/2023,199,316.8,58.5,38.1,3.76,9.2,310.5360825,Severe
Chennai,23/03/2023,180.6,454,55.5,42.1,3.94,50.6,275,Severe
Chennai,25/03/2023,392.2,256.5,52.7,51.4,1.28,13.7,573,Severe
Chennai,06/01/2023,207.8412371,166.2,19.2,55.4,2.26,19,487,Severe
Mumbai,26/01/2023,78,351.7,61.1,75.1,0.77,44.2,101,Moderate
Mumbai,05/02/2023,372,225.5,145.2,77.2,4.28,38.9,310.5360825,Severe
Delhi,26/02/2023,155.1,392.7,54.4,74.6,2.459183673,54.3,242,Poor
Mumbai,14/02/2023,320.1,150,68.7,8.1,0.22,115.7,493,Severe
Mumbai,02/01/2023,347.8,257.4202128,107.7,3.6,4.85,100.7,510,Severe
Delhi,19/01/2023,329,433.2,6,41.8,2.15,30.5,478,Severe
Bengaluru,19/03/2023,60.4,477.9,80.05858586,19.8,3.39,76.1,84,Satisfactory
Kolkata,03/09/2023,385.7,257.4202128,145.6,5.4,4.47,65.7,310.5360825,Severe
Kolkata,27/02/2023,304.3,69.5,135.9,41.4,4.15,41.8,472,Severe
Jaipur,07/01/2023,23.4,456.5,42.5,53.7,2.459183673,64.8,36,Good
Chennai,30/03/2023,33.8,257.4202128,121.9,60.4,1,29.1,45,Good
Mumbai,24/02/2023,207.8412371,155.3,22.1,56.3,2.459183673,105.9,500,Severe
Kolkata,04/09/2023,232.9,154.4,116.6,16.6,1.69,53.9,349,Very Poor
Hyderabad,11/01/2023,311.2,257.4202128,5.8,65.6,3.56,88.8,477,Severe
Mumbai,13/01/2023,131.3,176.1,110.8,51.7,4.45,59.3,181,Moderate
Hyderabad,03/04/2023,42.8,356.5,15.6,66.1,3.56,14.4,47,Good
Delhi,03/06/2023,156.7,60.1,117.7,45.6,2.18,109.2,219,Poor
Delhi,18/02/2023,343.6,357.8,73.8,9.6,2.51,59.4,502,Severe
Delhi,02/02/2023,113.4,137.1,146.1,32.7,4.47,77.6,181,Moderate
Mumbai,20/01/2023,141.7,472.6,51.9,42.5,3.54,55.64747475,231,Poor
Pune,27/01/2023,370.6,441.1,42.4,53.5,4.1,68.8,557,Severe
Mumbai,15/03/2023,173.1,467.7,130.6,5.5,0.23,48.3,272,Poor
Jaipur,03/02/2023,318.7,399,18.2,40.6,0.38,68.2,475,Severe
Chennai,10/01/2023,149.1,154.8,83.7,13,4.03,13.6,243,Poor
Delhi,23/02/2023,17.1,65.3,104,7.6,1.66,102.2,6,Good
Lucknow,18/01/2023,220.3,407.6,134.9,26.8,0.64,31.2,327,Very Poor
Mumbai,25/02/2023,323.4,155.4,30.7,60.5,4.05,118.9,481,Severe
Chennai,03/07/2023,207.8412371,25.4,73,6.4,0.68,18.5,309,Very Poor
Kolkata,20/03/2023,54.3,342.4,80.4,62.2,2.65,103,83,Severe
Ahmedabad,02/11/2023,221.6,257.4202128,90.7,40.65656566,0.28,55.64747475,326,Very Poor
Delhi,22/03/2023,284.6,122.2,24.8,3.1,1.82,72.8,422,Severe
Bengaluru,15/02/2023,281.4,216.3,30.1,40.65656566,2.459183673,68.2,310.5360825,Severe
Delhi,13/03/2023,40.3,487.7,148,56.5,2.73,40.6,73,Satisfactory
Pune,09/01/2023,44.5,114.1,11.6,27.4,2,36.2,79,Satisfactory
Chennai,18/03/2023,398.7,286.6,80.05858586,75.7,4.26,33.4,596,Severe
Bengaluru,29/03/2023,279.3,38.9,120.9,51,0.5,105.5,435,Severe
Chennai,08/04/2023,347.5,412.2,42.4,15.3,3.38,111.9,523,Severe
Jaipur,04/03/2023,56.7,447.5,80.05858586,55,3.97,62.3,68,Satisfactory
Ahmedabad,04/05/2023,261.9,294,80.05858586,78.9,3.07,32.3,310.5360825,Very Poor
Lucknow,20/02/2023,206.2,431.1,80.05858586,14.7,0.45,78.9,290,Poor
Chennai,22/02/2023,377.2,205.3,144.4,72.6,1.06,13,549,Severe
Hyderabad,03/08/2023,207.8412371,300,80.05858586,31.2,1.5,55.64747475,440,Severe
Jaipur,02/04/2023,104.6,149.2,80.05858586,40.65656566,1.68,29.3,149,Moderate
Chennai,03/12/2023,187.7,317.7,45.2,16.7,2.37,45.6,284,Poor
Mumbai,16/02/2023,207.8412371,154.4,143.5,59.6,2.82,75.3,398,Very Poor
Jaipur,10/03/2023,38.8,257.4202128,145.5,42.8,3.18,85,56,Satisfactory
Chennai,03/11/2023,254.7,300.5,135.7,5.5,1.48,114.3,397,Very Poor
Kolkata,28/03/2023,79,62.6,22.5,37.9,1.11,46.9,118,Moderate
Jaipur,28/02/2023,161.8,25.2,136.3,9.1,1.66,114.3,260,Poor
Delhi,02/03/2023,207.8412371,296.9,76.4,17.2,3.64,37.3,289,Poor
Mumbai,02/08/2023,281.8,357.2,57.1,24.9,4.07,98.2,437,Severe
Delhi,21/02/2023,238.5,471.3,88.4,40.65656566,3.25,57.7,359,Severe
Jaipur,02/12/2023,59.6,270.7,80.05858586,18.8,3.15,14.8,71,Satisfactory
Delhi,01/05/2023,241,42.3,93.1,15.3,0.42,114.1,380,Very Poor
Bengaluru,09/02/2023,366.2,265.4,77.7,64.3,3.28,85.7,561,Severe
Chennai,07/02/2023,47.9,315.2,148.6,12.9,2.459183673,55.64747475,310.5360825,Severe
Ahmedabad,21/01/2023,207.8412371,257.4202128,77.1,25.5,1.5,9.2,582,Severe
Delhi,04/01/2023,288.2,257.4202128,79.2,40.65656566,0.63,56.5,433,Severe
Lucknow,01/02/2023,301.1,331.8,128.1,53.3,2.88,15.8,446,Severe
Jaipur,05/03/2023,394.8,199.6,58.7,65.4,4.74,118.4,602,Severe
Jaipur,17/02/2023,106.6,190.9,114.9,3.1,0.67,10.3,141,Severe
Ahmedabad,27/03/2023,194.8,257.4202128,30,17,0.3,24.4,283,Severe
Lucknow,04/06/2023,69.6,138.1,28.3,16.6,1.5,24.9,120,Moderate
Hyderabad,19/02/2023,207.8412371,211.3,94.3,51.5,0.32,48.1,273,Poor
Kolkata,04/02/2023,261.7,105,141.4,76.4,4.58,47.6,373,Very Poor
Delhi,01/08/2023,82.1,257.4202128,117.4,75.3,2.459183673,73.8,140,Moderate
Chennai,17/03/2023,192.8,219.1,44.6,6.4,4.34,98.5,309,Very Poor
Ahmedabad,24/03/2023,346.3,475.8,26.3,74.3,2.51,34.7,517,Severe
Delhi,13/02/2023,217.2,279.5,97.4,58.6,4.88,55.64747475,318,Very Poor
Hyderabad,23/01/2023,207.8412371,136.2,102.5,61.4,2.459183673,88.7,586,Severe
Ahmedabad,14/03/2023,277,98.1,137.1,66.2,4.75,88.5,420,Severe
Pune,16/01/2023,107.2,217,114.6,19.8,0.48,38.3,147,Moderate
Lucknow,02/10/2023,357.1,182.2,59.5,9.3,2.93,9.1,534,Severe
